# # SAXS profile: number of points = 52, q_min = 0, q_max = 0.5, delta_q = 0.01
# #    q    intensity    error
# 
1.000000000000000021e-02 3.236042330586157367e+07 9.688767724899000314e+04
2.000000000000000042e-02 3.063482047416077554e+07 1.656650716486599995e+05
2.999999999999999889e-02 2.820191450275825337e+07 1.974119644961500017e+05
4.000000000000000083e-02 2.447653614006932825e+07 1.841923204640499898e+05
5.000000000000000278e-02 2.168849220297629759e+07 2.107180207525299920e+05
5.999999999999999778e-02 1.718946273094263300e+07 1.581933287856300012e+05
7.000000000000000666e-02 1.327734867755392753e+07 2.017522099818300048e+05
8.000000000000000167e-02 1.007374348759608902e+07 1.723752528541900101e+05
8.999999999999999667e-02 7.043769373698747717e+06 1.384209208860099898e+05
1.000000000000000056e-01 5.005013066094292328e+06 9.711428034907999972e+04
1.100000000000000006e-01 3.177552631512291264e+06 5.855030843597999774e+04
1.199999999999999956e-01 1.967560984554593684e+06 4.686244635068000207e+04
1.300000000000000044e-01 1.208624487621756503e+06 3.322724747291999665e+04
1.400000000000000133e-01 7.643184298090406228e+05 2.237369055740000113e+04
1.499999999999999944e-01 5.366801293110204861e+05 1.190301213004000056e+04
1.600000000000000033e-01 4.278432774144193390e+05 1.241954473829000017e+04
1.700000000000000122e-01 3.992190503447891097e+05 1.121692916121000053e+04
1.799999999999999933e-01 3.964719150962060667e+05 1.581707977217000007e+04
1.900000000000000022e-01 3.648924286053844262e+05 1.296817631771999913e+04
2.000000000000000111e-01 3.480798400151213282e+05 1.392093231822999951e+04
2.099999999999999922e-01 3.307057245208878303e+05 1.123389681113000006e+04
2.200000000000000011e-01 2.904013751620683470e+05 1.130867748299999948e+04
2.300000000000000100e-01 2.457679578261316055e+05 1.019314949677000004e+04
2.399999999999999911e-01 1.980955670497773390e+05 7.556911201349999828e+03
2.500000000000000000e-01 1.792210455817291222e+05 1.004591181617999973e+04
2.600000000000000089e-01 1.547748349616004853e+05 5.949752343979999750e+03
2.700000000000000178e-01 1.311690672392908018e+05 5.846914951189999556e+03
2.800000000000000266e-01 1.150982848097890092e+05 5.739286997549999796e+03
2.899999999999999800e-01 1.001580813688433700e+05 4.777415863219999665e+03
2.999999999999999889e-01 8.890216309764409380e+04 5.196026652030000150e+03
3.099999999999999978e-01 8.062996616215670656e+04 4.500141876980000234e+03
3.200000000000000067e-01 7.282116903338607517e+04 4.690009064910000234e+03
3.300000000000000155e-01 7.123345058751570468e+04 3.922961829440000201e+03
3.400000000000000244e-01 6.923784755266192951e+04 4.333778829210000367e+03
3.499999999999999778e-01 7.197885329527917202e+04 5.951928367180000350e+03
3.599999999999999867e-01 7.033885585113782145e+04 3.864124743219999800e+03
3.699999999999999956e-01 6.908167500602088694e+04 4.823956784820000394e+03
3.800000000000000044e-01 7.248719893346325262e+04 5.006582891670000208e+03
3.900000000000000133e-01 7.346747613981363247e+04 5.609981274849999863e+03
4.000000000000000222e-01 7.630323353112804762e+04 5.345644644779999908e+03
4.099999999999999756e-01 7.105092269613176177e+04 4.599983582539999588e+03
4.199999999999999845e-01 7.864922293357807212e+04 5.715899712919999729e+03
4.299999999999999933e-01 7.716533900445721520e+04 5.944839924670000073e+03
4.400000000000000022e-01 7.879451990429985744e+04 6.211733018210000409e+03
4.500000000000000111e-01 8.142771351717891230e+04 5.429939034050000373e+03
4.600000000000000200e-01 8.296136288886946568e+04 6.279055833360000179e+03
4.699999999999999734e-01 8.339839925126123126e+04 7.202491356800000176e+03
4.799999999999999822e-01 8.638717027112223150e+04 8.191164272340000025e+03
4.899999999999999911e-01 9.080057246820349246e+04 8.569902792200000476e+03
5.000000000000000000e-01 9.068741076128423447e+04 8.237069050219999554e+03
