 1 N
 2 H
 3 CA
 4 C
 5 O
 6 CH3-nonpol-pol
 7 CH2-nonpol
 8 CH-nonpol
 9 S-nonpol
10 CH(2)-pol
11 O(H)-pol(aro)
12 Hend-pol(aro)
13 S-pol
14 O=pol
15 N(H(2))-pol
16 H2(N)-pol
17 C=pol
18 CH(2)-aro
19 Cring-aro
20 C(H)+
21 CH2+
22 N+
23 H+
24 O-
25 CH2-
26 Cacid-
27 Cgly
 
