5.000000000000000278e-02 4.210871257117109606e-02 6.963503051652808343e-04
1.000000000000000056e-01 1.515759312320917040e-01 4.297994269340974297e-03
1.500000000000000222e-01 2.877854295034432686e-01 1.286698079014135521e-02
2.000000000000000111e-01 4.402173913043478382e-01 2.685421994884910554e-02
2.500000000000000000e-01 5.789473684210526550e-01 4.701073071027082190e-02
2.999999999999999889e-01 7.100802854594112645e-01 1.025869759143621801e-01
3.500000000000000333e-01 8.152542372881356192e-01 2.016949152542373003e-01
4.000000000000000222e-01 8.827586206896551602e-01 2.551724137931034586e-01
4.500000000000000111e-01 9.540983606557377206e-01 3.508196721311475641e-01
5.000000000000000000e-01 9.662447257383965926e-01 5.611814345991561481e-01
5.500000000000000444e-01 9.648241206030150341e-01 6.381909547738693345e-01
6.000000000000000888e-01 9.866666666666666918e-01 5.999999999999999778e-01
6.500000000000001332e-01 1.000000000000000000e+00 6.250000000000000000e-01
7.000000000000000666e-01 1.000000000000000000e+00 6.721311475409835756e-01
7.500000000000001110e-01 1.000000000000000000e+00 7.857142857142856984e-01
8.000000000000000444e-01 1.000000000000000000e+00 1.000000000000000000e+00
8.500000000000000888e-01 1.000000000000000000e+00 1.000000000000000000e+00
9.000000000000001332e-01 1.000000000000000000e+00 1.000000000000000000e+00
